ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
20201101-3,T8,spring,3.6,108.0,108.0354,75.391014,1.0599326,0.9348678,355.8715
20201101-3,T8,spring,3.633333,109.0,107.99048,75.461845,1.1156098,2.5163078,64.110794
20201101-3,T8,spring,3.666666,110.0,108.006676,75.47661,1.1938345,0.65742373,74.64931
20201101-3,T8,spring,3.7,111.0,108.12986,75.53191,1.3103349,4.050912,102.9698
20201101-3,T8,spring,3.733333,112.0,108.64266,75.42157,1.7203974,15.736169,381.03555
20201101-3,T8,spring,3.766666,113.0,109.29605,75.2105,1.8641161,20.599192,155.65414
20201101-3,T8,spring,3.8,114.0,109.55927,74.86533,1.8892303,13.022302,371.31293
20201101-3,T8,spring,3.833333,115.0,109.651054,74.72139,1.9766002,5.1215353,237.91501
20201101-3,T8,spring,3.866666,116.0,109.779724,74.481575,2.0196793,8.164711,92.45169
20201101-3,T8,spring,3.9,117.0,110.1854,74.1076,2.2462137,16.552265,276.98602
20201101-3,T8,spring,3.933333,118.0,110.6435,73.76707,2.2717967,17.124172,55.977688
20201101-3,T8,spring,3.966666,119.0,111.0367,73.37547,2.4796205,16.648108,74.329475
20201101-3,T8,spring,4.0,120.0,111.61239,72.62454,2.5466866,28.385832,362.69305
20201101-3,T8,spring,4.033333,121.0,112.317345,71.89334,2.6107662,30.470873,117.69806
20201101-3,T8,spring,4.066666,122.0,113.09233,71.11862,2.526166,32.874603,74.20824
20201101-3,T8,spring,4.1,123.0,113.67953,70.188126,2.4016192,33.00781,219.5791
20201101-3,T8,spring,4.133333,124.0,113.99416,69.0989,-0.8859873,34.013245,283.87857
20201101-3,T8,spring,4.166666,125.0,114.315575,68.13731,1.9428238,30.416746,115.04235
20201101-3,T8,spring,4.2,126.0,114.46361,67.11951,1.795847,30.854618,164.0306
20201101-3,T8,spring,4.233333,127.0,114.45328,66.14226,1.7629447,29.319407,147.11502
20201101-3,T8,spring,4.266666,128.0,114.342285,65.49856,1.595761,19.596165,313.57452
20201101-3,T8,spring,4.3,129.0,114.01698,64.4454,1.3277836,33.067112,415.90802
20201101-3,T8,spring,4.333333,130.0,113.79551,63.186367,1.2658687,38.351276,207.53816
20201101-3,T8,spring,4.366666,131.0,113.34791,61.902443,-1.5532879,40.79167,204.74327
20201101-3,T8,spring,4.4,132.0,112.60646,60.527103,1.2658322,46.87302,276.9335
20201101-3,T8,spring,4.433333,133.0,111.99155,59.210896,1.145537,43.583336,125.67112
20201101-3,T8,spring,4.466666,134.0,111.24352,57.931038,1.141579,44.473106,124.19034
20201101-3,T8,spring,4.5,135.0,110.43301,56.6727,1.083296,44.902565,59.47478
20201101-3,T8,spring,4.533333,136.0,109.58222,55.3758,0.95646054,46.532196,50.21647
20201101-3,T8,spring,4.566666,137.0,108.7016,54.14044,0.91357625,45.51364,61.554195
20201101-3,T8,spring,4.6,138.0,107.78132,53.05077,0.86355954,42.78781,135.90962
20201101-3,T8,spring,4.633333,139.0,106.734055,51.9514,0.9382727,45.55077,114.6465
,,,,,,,,,
20201101-3,T8,spring,4.7,141.0,104.586296,49.584377,0.8065184,43.141415,295.95673
20201101-3,T8,spring,4.733333,142.0,103.349525,48.590145,0.91625875,47.606026,223.78421
,,,,,,,,,
20201101-3,T8,spring,4.8,144.0,101.10005,46.828777,0.5614966,34.215015,542.61224
20201101-3,T8,spring,4.833333,145.0,99.86744,46.052216,0.70340073,43.70571,287.18256
20201101-3,T8,spring,4.866666,146.0,98.77158,45.54421,0.71428484,36.23659,271.24103
20201101-3,T8,spring,4.9,147.0,97.73355,44.96626,0.52834946,35.641785,81.67287
20201101-3,T8,spring,4.933333,148.0,96.50558,44.496506,-2.8035135,39.44306,196.74919
20201101-3,T8,spring,4.966666,149.0,95.34947,44.139347,0.48128894,36.30094,120.22213
20201101-3,T8,spring,5.0,150.0,94.484695,44.032978,-2.7668676,26.138311,345.9811
20201101-3,T8,spring,5.033333,151.0,93.75667,43.91687,0.3585218,22.116909,123.37065
20201101-3,T8,spring,5.066666,152.0,93.4155,43.97793,-3.0478013,10.397922,382.94772
20201101-3,T8,spring,5.1,153.0,93.579445,43.998074,-3.0075762,4.955227,456.08603
20201101-3,T8,spring,5.133333,154.0,93.995575,43.989307,-2.7941191,12.486873,228.46439
20201101-3,T8,spring,5.166666,155.0,94.68039,44.065014,0.759388,20.6697,253.48457
